Feature,Feature_Name,Pearson,Spearman,Mutual_Information,Permutation_Importance,VIF,Correlation_Score,Composite_Score
cap_rel,Relative Capacity,0.9989872457500576,0.996334094360496,1.0,0.04239489876889552,134.37395843533608,0.9976606700552768,0.7080480092922068
energy_rel,Relative Energy,0.9293136474486338,0.9808352282307508,0.6774110488292583,0.0004483824363176586,97.31758399932407,0.9550744378396923,0.6141262172289359
charge_capacity,Charge Capacity,0.967161714890456,0.9199601379500613,0.5059354975230538,0.00015252364270613463,138.62877240105786,0.9435609264202587,0.5737142522115093
cycle_pos,Cycle Position,0.815742660901902,0.946682672293398,0.3703592342490152,0.0015388461857841992,3.3419687985269557,0.88121266659765,0.5380169762402214
charge_energy,Charge Energy,0.8946682333924262,0.8885301018445197,0.37832877703513856,7.082522231885801e-05,109.77790389969493,0.8915991676184729,0.5223822113573574
ir_rel,Relative Resistance,0.7584703814951527,0.554006065319592,0.1510849688349103,0.0002764609013162279,3.6309745703152374,0.6562382234073723,0.3799851245180588
coulombic_efficiency_lagged_1,CE (t-1),0.22680057720301483,0.5170897163665201,0.11848175187198765,0.00010053375240583265,1.0723878307147214,0.3719451467847675,0.2579425468320693
coulombic_efficiency_lagged_2,CE (t-2),0.2243878205501156,0.5152244641927017,0.11665608185853013,0.0001298757709506824,1.0720129165641892,0.3698061423714087,0.25652251011390914
dc_internal_resistance,Internal Resistance,0.39079129964809967,0.16335609572916204,0.13885608586222897,0.0003455803163115071,2.494394687984137,0.2770736976886309,0.19499444169979718
temperature_avg,Average Temperature,0.12789025733575157,0.2533942357647271,0.156210446500049,4.955681620095414e-05,1.5067141371408812,0.1906422465502393,0.16646598548103378
