epoch,train,val,lr
1,0.004223079906922873,0.0017018632603173762,0.0005
2,0.0024751648534922814,0.003285192423043028,0.0005
3,0.00240428053658012,0.001431394662923123,0.0005
4,0.002243541105112072,0.001958713377688459,0.0005
5,0.002014054743878167,0.005012587435259515,0.0005
6,0.0020119261307902504,0.002626596740674123,0.0005
7,0.0019420216444011426,0.0021223573942896483,0.0005
8,0.0018593460402808373,0.0014799372007551106,0.0005
9,0.0018120189104426651,0.001631841770179632,0.0005
10,0.0017700229005864884,0.0033929073349559333,0.0005
11,0.0016983582890225946,0.00414918897778248,0.0005
12,0.0017319468550554503,0.0026931942629160733,0.00025
13,0.0014791046171690081,0.002572056892242571,0.00025
14,0.0013610294075537257,0.0023642156881475617,0.00025
15,0.0013680904255325285,0.0022516300144950502,0.00025
16,0.0014162838629871528,0.0030041522952630566,0.00025
17,0.0012829778476638057,0.003156927650027272,0.00025
18,0.0012999927506888939,0.0025338578299633867,0.00025
19,0.0012634963166585898,0.003672133914837496,0.00025
20,0.0012826302046191316,0.005294819975518133,0.00025
21,0.001270552840036452,0.0032150929457198194,0.000125
22,0.001091142149805741,0.003067202776887691,0.000125
23,0.0010332154158073732,0.0034028040004716953,0.000125
