Metric,Value
Parameters,"270,113"
Disk size (MB),1.10
Peak RAM (KB),5.1
Latency mean (ms),6.847
Latency std (ms),1.397
Latency p95 (ms),9.553
Throughput (samp/s),2526
BMS real-time OK?,YES
