epoch,train_mse,val_mse,lr
1,0.004305228932202477,0.0032807682580462717,0.001
2,0.001902741013736594,0.000168313825598428,0.001
3,0.000276459142354089,7.401395788754441e-05,0.001
4,0.00017700133274376942,6.11575632355724e-05,0.001
5,0.00013699296679224433,5.548180591631356e-05,0.001
6,0.00011911407357351238,6.251379664159183e-05,0.001
7,0.0001031851829332129,4.976491832090301e-05,0.001
8,9.100337290791231e-05,4.825297470734733e-05,0.001
9,7.899895433708878e-05,4.5973518046545455e-05,0.001
10,6.904526822290531e-05,3.211489505135345e-05,0.001
11,7.579928412866303e-05,4.5751039043008846e-05,0.001
12,0.0001865811448827483,9.726551534967717e-05,0.001
13,6.673203241500723e-05,4.055003856646291e-05,0.001
14,4.453705311407395e-05,8.297085984025604e-05,0.001
15,0.00026175618452231125,0.0012511961473467082,0.001
16,0.0004709507216476694,3.363086850219717e-05,0.001
17,3.3977837174554124e-05,3.562100136035943e-05,0.001
18,3.190325291588714e-05,3.3544877493152795e-05,0.001
19,3.726296201052379e-05,4.4834313806256416e-05,0.0005
20,2.9855699443442737e-05,3.3456854213447304e-05,0.0005
21,2.8511936607542475e-05,3.2043763127712015e-05,0.0005
22,2.7446222659813253e-05,3.4999977316678806e-05,0.0005
23,2.6894924566151043e-05,2.949227887791049e-05,0.0005
24,4.024776549939606e-05,3.50701428934448e-05,0.0005
25,2.6541087168777004e-05,3.115732099752358e-05,0.0005
26,2.420854249774757e-05,3.037422460436282e-05,0.0005
27,2.4419713936528715e-05,3.424616472959795e-05,0.0005
28,3.8333483852606195e-05,4.736443633648621e-05,0.0005
29,2.8124620137338877e-05,3.939812402997952e-05,0.0005
30,2.72964349520952e-05,3.976556376984753e-05,0.0005
31,2.479943956337297e-05,4.2619675173048085e-05,0.0005
32,2.43373093676379e-05,3.744180588150921e-05,0.00025
33,2.3158150432278495e-05,3.517890338242848e-05,0.00025
34,2.259942131074365e-05,3.838118672403741e-05,0.00025
35,2.2695621887104925e-05,3.0258018324497665e-05,0.00025
36,2.25281907876239e-05,3.754506200592624e-05,0.00025
37,2.1977525704841034e-05,3.9291055006483594e-05,0.00025
38,2.142513601585458e-05,4.257625704419159e-05,0.00025
39,2.1717109387514938e-05,4.805193029211509e-05,0.00025
40,2.1118188050495955e-05,3.735506872006034e-05,0.00025
41,2.0557291263131645e-05,3.4853979285782416e-05,0.000125
42,2.6728178663489787e-05,3.86828817258144e-05,0.000125
43,1.8892759937351157e-05,3.921285565908138e-05,0.000125
